"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"China","CHN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.98,4.67,4.571
"Côte d'Ivoire","CIV","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.816,5.167,5.474,5.805,5.883,5.999,6.009,6.272,6.379,6.571,6.618,7.135,7.223,4.255,3.285,2.579,1.896,3.272,2.85,2.401,2.584,2.63,2.306,2.27,2.288
"Camerún","CMR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",7.536,7.46,6.709,5.908,5.091,4.4,3.729,3.063,3.387,3.744,4.11,3.987,3.835,3.685,3.534,3.518,3.528,3.568,3.601,3.622,3.87,3.973,3.653,3.613,3.518
"Colombia","COL","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",20.52,15.04,14.481,13.221,13.717,11.062,11.091,11.204,11.273,12.066,11.153,10.288,9.959,9.246,8.799,8.572,8.922,9.086,9.36,10.28,15.983,13.898,10.547,9.594,9.608
"Costa Rica","CRI","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",5.08,6.051,6.396,6.654,6.445,6.749,5.926,4.557,4.934,7.824,7.171,9.518,9.11,8.218,8.499,8.415,8.085,7.729,9.01,10.807,16.432,15.139,11.325,8.325,7.848
"Chipre","CYP","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.766,4.043,3.336,4.153,4.77,5.481,4.593,3.946,3.756,5.594,6.359,7.942,12.097,16.131,16.277,15.026,13.006,11.155,8.504,7.155,7.755,7.513,6.806,6.098,5.602
"República Checa","CZE","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",8.764,8.128,7.28,7.777,8.298,7.927,7.141,5.316,4.392,6.662,7.281,6.712,6.979,6.953,6.108,5.048,3.952,2.893,2.246,2.015,2.55,2.803,2.224,2.579,2.506
"Alemania","DEU","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",7.917,7.773,8.482,9.779,10.727,11.193,10.277,8.732,7.508,7.88,7.043,5.967,5.372,5.316,4.979,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068,3.406
"Djibouti","DJI","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",26.664,26.599,26.59,26.488,26.446,26.452,26.387,26.3,26.194,26.33,26.371,26.314,26.187,26.157,26.173,26.07,25.992,26.064,26.184,26.256,27.713,27.668,26.307,26.154,25.875
"Dinamarca","DNK","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.476,4.164,4.274,5.398,5.204,4.83,3.897,3.801,3.683,6.409,7.746,7.769,7.798,7.384,6.925,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434,5.094,5.587
"República Dominicana","DOM","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.432,7.262,6.779,6.938,6.303,6.587,5.654,5.158,4.764,5.467,5.212,6.087,6.722,7.351,6.719,7.605,7.284,5.832,5.861,6.356,6.126,7.702,5.504,5.555,5.473
"Ecuador","ECU","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.8,4.252,4.836,5.662,5.002,3.779,3.55,3.142,3.917,4.608,4.088,3.458,3.235,3.083,3.48,3.616,4.597,3.836,3.53,3.812,6.127,4.552,3.761,3.51,4.773
"Egipto, República Árabe de","EGY","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",8.98,9.26,10.01,10.91,10.32,11.049,10.49,8.8,8.517,9.087,8.757,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.974,7.441,7.344,7.334,7.198
"España","ESP","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",13.785,10.348,11.146,11.283,11.09,9.146,8.452,8.232,11.254,17.857,19.86,21.39,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.104,15.532,14.781,12.917,12.179,11.394
"Estonia","EST","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",13.36,13.134,10.026,11.288,10.248,8.033,5.915,4.592,5.455,13.548,16.707,12.328,10.021,8.631,7.352,6.412,6.882,5.807,5.412,4.514,6.956,6.178,5.571,6.378,7.828
"Etiopía","ETH","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3.5,3.176,3.06,2.995,2.767,2.497,2.351,2.347,2.335,2.331,2.3,2.275,2.255,2.251,2.359,2.443,2.554,2.662,2.802,2.917,3.994,3.935,3.409,3.402,3.398
"Finlandia","FIN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",11.134,10.29,10.423,10.469,10.358,9.602,8.935,6.854,6.369,8.249,8.394,7.781,7.689,8.193,8.663,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.151,8.26
"Fiji","FJI","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.7,4.695,4.769,4.738,4.7,3.886,3.958,4.106,4.185,4.305,4.343,4.406,4.375,4.357,4.325,4.291,4.319,4.324,4.335,4.373,4.649,4.701,4.446,4.322,4.307
"Francia","FRA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",10.218,8.61,8.702,8.306,8.914,8.882,8.832,8.008,7.386,9.122,9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.409,9.018,8.415,8.009,7.874,7.308,7.335,7.37
"Reino Unido","GBR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",5.558,4.696,5.037,4.807,4.594,4.835,5.411,5.342,5.705,7.627,7.924,8.169,8.25,7.704,6.363,5.517,4.867,4.452,4.12,3.613,4.472,4.826,3.73,3.984,4.111
"Georgia","GEO","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",10.82,11.16,12.59,11.51,12.62,13.81,13.57,13.28,17.87,20.71,20.203,19.632,19.653,19.416,17.439,16.506,16.604,13.939,12.667,11.565,11.73,11.791,11.647,11.537,11.48
"Guinea","GIN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.599,4.597,4.549,4.644,4.743,4.875,4.93,4.818,4.829,4.967,5.097,5.094,4.884,4.967,5.09,5.224,5.013,4.826,4.787,5.018,6.018,5.827,5.267,5.244,5.23
"Gambia","GMB","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",9.787,9.708,10.079,10.032,9.991,9.963,10.259,10.428,10.092,9.823,9.723,10.283,10.346,9.454,8.218,7.26,6.285,5.157,4.127,4.538,5.892,6.269,6.076,6.479,6.496
"Guinea-Bissau","GNB","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3.557,3.154,3.181,3.244,3.238,3.174,3.154,3.149,3.164,3.152,3.137,3.08,3.143,3.162,3.254,3.157,3.123,3.066,3.127,2.413,2.89,3.031,2.666,2.65,2.622
"Grecia","GRC","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",11.345,10.764,10.346,9.839,10.628,10.074,8.906,8.351,7.664,9.546,12.719,17.973,24.731,27.686,26.708,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.066,10.133
"Guatemala","GTM","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.606,2.745,2.747,2.807,2.971,3.059,2.948,2.824,2.873,3.208,3.497,3.172,2.765,3.017,2.717,2.506,2.583,2.462,2.283,2.193,2.955,2.174,3.051,2.344,2.219
"Honduras","HND","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3.881,4,4.02,5.3,5.99,4.909,3.574,3.211,3.156,3.292,4.119,4.474,3.755,5.646,7.078,6.147,6.727,5.528,5.648,5.698,10.982,8.506,8.774,6.07,6.061
"Croacia","HRV","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",16.064,15.822,15.053,13.924,13.664,12.598,11.13,9.909,8.53,9.202,11.62,13.678,15.935,17.251,17.29,16.175,13.103,11.208,8.432,6.617,7.507,7.608,6.96,6.086,5.236
"Hungría","HUN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.563,5.671,5.608,5.79,5.832,7.189,7.494,7.406,7.817,10.03,11.172,11.029,11.003,10.177,7.725,6.813,5.115,4.156,3.708,3.419,4.25,4.045,3.609,4.107,4.434
"Indonesia","IDN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.077,6.082,6.604,6.657,7.303,7.945,7.551,8.06,7.208,6.106,5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308,3.3
"India","IND","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",7.624,7.653,7.753,7.68,7.625,7.552,7.552,7.561,7.656,7.664,7.652,7.616,7.666,7.711,7.674,7.631,7.601,7.618,7.652,6.51,7.859,6.38,4.822,4.172,4.202
"Irlanda","IRL","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.318,3.684,4.216,4.478,4.491,4.237,4.355,4.98,6.774,12.609,14.534,15.354,15.451,13.735,11.858,9.908,8.374,6.713,5.741,4.95,5.623,6.364,4.501,4.288,4.369
"Irán, República Islámica del","IRN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",11.696,12.36,12.8,11.529,10.3,11.813,11.519,10.772,10.63,12.113,13.679,12.491,12.275,10.595,10.68,11.166,12.618,12.232,12.195,10.74,9.687,9.282,9.085,9.041,9.192
"Islandia","ISL","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",1.936,1.874,2.988,3.997,4.031,2.547,2.83,2.251,2.946,7.22,7.564,7.028,6,5.376,4.897,3.979,2.978,2.742,2.704,3.507,5.478,6.029,3.789,3.518,3.107
"Israel","ISR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",11.102,11.812,12.888,13.505,13.029,11.342,10.707,9.379,7.704,9.534,8.48,7.139,6.762,6.137,5.789,5.176,4.723,4.14,3.917,3.731,4.169,4.812,3.695,3.596,3.15
"Italia","ITA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",10.834,9.599,9.211,8.869,7.866,7.73,6.777,6.076,6.723,7.749,8.363,8.359,10.655,12.149,12.683,11.896,11.688,11.211,10.61,9.951,9.164,9.497,8.069,7.627,6.778
"Jamaica","JAM","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.762,6.646,6.619,6.535,6.539,6.577,6.605,6.606,6.666,7.314,7.63,8.034,8.695,9.698,9.046,8.825,8.634,7.399,5.47,4.987,6.501,5.188,4.083,4.4,4.885
"Jordania","JOR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",13.7,14.7,15.3,14.5,14.628,14.8,14,13.1,12.7,12.9,12.5,12.9,12.2,12.6,11.9,13.075,15.275,18.12,18.257,16.801,19.213,19.837,18.2,17.969,17.996
"Japón","JPN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.748,5.02,5.386,5.251,4.734,4.446,4.192,3.888,4.002,5.068,5.102,4.55,4.358,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809,2.828,2.6,2.6,2.563
"Kazajstán","KAZ","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",12.75,10.43,9.33,8.78,8.4,8.13,7.79,7.26,6.63,6.55,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,5.546,4.86,4.821,4.794
"Kenya","KEN","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.889,2.881,2.919,2.873,2.848,2.745,2.68,2.65,2.756,2.818,2.796,2.704,2.682,2.764,2.768,2.762,2.757,3.541,4.284,5.014,5.619,5.693,5.707,5.567,5.434
"Kirguistán","KGZ","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",1.858,1.95,2.065,2.162,2.259,2.362,2.48,2.577,2.642,2.744,2.887,2.999,3.114,3.153,3.262,3.338,3.474,3.57,3.67,4.295,4.63,4.096,4.043,3.991,3.289
"Corea, República de","KOR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",4.063,3.699,3.046,3.348,3.42,3.482,3.254,3.013,2.959,3.363,3.324,2.992,2.812,2.747,3.082,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675,2.604
"República Democrática Popular Lao","LAO","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.046,1.88,1.775,1.639,1.498,1.35,1.198,1.067,0.943,0.834,0.708,1.055,1.399,1.757,2.119,2.494,2.881,3.268,2.9,2.537,2.361,2.066,1.209,1.188,1.218
"Sri Lanka","LKA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",7.74,7.9,8.76,8.22,8.38,7.67,6.5,5.97,5.22,5.85,4.784,4.118,3.88,4.186,4.157,4.519,4.242,4.046,4.318,4.67,5.364,4.981,4.528,5.997,4.996
"Lituania","LTU","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",15.931,16.84,13.008,12.874,10.684,8.325,5.78,4.25,5.826,13.785,17.814,15.39,13.365,11.77,10.698,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.955,6.841,7.504
"Luxemburgo","LUX","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.345,1.805,2.621,3.675,5.113,4.488,4.731,4.065,5.06,5.194,4.423,5.122,5.03,6.045,6.044,6.796,6.669,5.523,5.589,5.592,6.766,5.571,4.588,5.184,5.935
"Letonia","LVA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",14.211,13.821,13.829,12.061,11.708,10.033,7.03,6.052,7.739,17.515,19.482,16.206,15.047,11.867,10.846,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.465,6.72
"República de Moldova","MDA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",8.539,7.366,6.845,6.378,6.374,5.633,4.2,2.723,2.073,2.987,2.937,2.648,2.151,1.873,1.425,1.742,1.557,1.586,1.196,1.466,1.186,0.785,0.897,1.555,1.434
"Madagascar","MDG","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",5.8,5.35,5.502,5.01,3.946,2.62,2.946,3.205,3.438,3.887,4.28,2.512,0.599,0.996,1.386,1.785,1.947,2.119,2.297,2.469,3.284,3.487,3.186,3.069,3.012
"Maldivas","MDV","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",1.97,3.083,4.148,5.134,6.1,7.328,8.392,9.447,10.242,11.697,10.881,10.06,9.14,8.3,7.477,6.604,5.771,5.401,4.95,4.562,5.434,5.024,4.419,4.241,4.636
"México","MEX","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.646,2.627,3.003,3.455,3.937,3.558,3.566,3.628,3.874,5.356,5.303,5.175,4.892,4.921,4.819,4.311,3.853,3.419,3.275,3.477,4.44,4.019,3.256,2.765,2.711
"Macedonia del Norte","MKD","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",32.2,30.52,31.94,36.69,37.161,37.32,36.392,35.231,33.93,32.351,33.135,31.502,31.096,29.017,28.215,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.476,13.174,13.417
"Malí","MLI","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",1.414,1.338,1.364,1.281,1.412,1.379,1.425,1.405,1.424,1.423,1.405,1.422,1.482,1.516,1.474,1.401,1.367,1.494,1.62,3.29,3.528,3.966,2.387,2.956,3.06
"Malta","MLT","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",6.324,7.107,6.902,7.488,7.317,6.923,6.798,6.472,5.977,6.889,6.847,6.378,6.197,6.106,5.725,5.389,4.687,4.002,3.658,3.616,4.347,3.394,2.921,3.11,2.703
"Montenegro","MNE","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",30.609,30.741,30.423,30.458,30.37,30.31,24.79,19.4,17.15,19.09,19.649,19.759,19.808,19.585,18.054,17.555,17.732,16.082,15.19,15.128,17.878,16.543,14.851,14.621,14.1
"Mongolia","MNG","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",5.993,6.111,6.2,6.768,6.854,7.017,7.193,7.2,5.565,5.86,6.549,4.769,3.905,4.231,4.798,4.861,7.235,6.359,5.377,9.269,6.594,7.747,6.211,5.503,5.424
"Mozambique","MOZ","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.833,2.839,2.903,2.859,2.955,3.037,3.039,3.084,3.114,3.208,3.261,3.296,3.305,3.346,3.377,3.426,3.457,3.539,3.604,3.646,3.921,4.053,3.596,3.519,3.527
"Mauritania","MRT","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",10.033,10.125,10.185,9.921,9.791,9.626,9.37,9.524,9.735,10.186,10.075,9.968,9.864,9.929,10.028,10.108,10.283,10.336,10.407,10.416,11.054,11.144,10.531,10.446,10.373
"Malawi","MWI","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",5.048,5.209,5.233,5.157,4.971,4.944,4.96,4.888,4.814,4.754,4.798,4.842,4.952,4.978,4.967,4.954,5.007,5.039,5.014,4.966,5.728,5.662,5.037,5.033,5.045
"Malasia","MYS","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3,3.53,3.48,3.61,3.54,3.53,3.32,3.23,3.32,3.66,3.39,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.54,4.64,3.93,3.869,3.826
"Níger","NER","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",1.431,1.47,1.813,2.156,2.747,3.1,2.536,2.032,1.592,1.209,0.722,0.316,2.177,1.397,0.524,0.553,0.548,0.554,0.535,0.531,0.594,0.78,0.418,0.425,0.355
"Nigeria","NGA","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3.963,3.91,3.681,3.648,3.601,3.734,3.756,3.799,3.795,3.766,3.746,3.77,3.76,3.711,3.902,4.135,4.499,4.828,5.067,5.206,5.742,5.45,3.821,3.074,2.989
"Nicaragua","NIC","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",7.162,7.203,7.513,7.6,6.41,5.37,5.31,4.89,6.2,8.16,7.83,6.618,5.208,5.28,4.52,4.7,3.9,3.3,5.2,5.472,6.201,6.118,4.961,4.716,4.574
"Países Bajos","NLD","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",2.725,2.119,2.554,3.593,4.646,5.872,5.007,4.153,3.658,4.352,4.991,4.977,5.821,7.241,7.419,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.537,3.599
"Noruega","NOR","Desempleo, total (% de la fuerza laboral total) (estimación modelada de la OIT)","SL.UEM.TOTL.ZS",3.458,3.738,4.022,4.221,4.256,4.381,3.397,2.493,2.521,3.1,3.527,3.196,3.129,3.425,3.486,4.296,4.68,4.164,3.801,3.684,4.424,4.359,3.231,3.572,3.97
